case_id,case_description,model_predicted_condition,model_alternatives_top3,model_risk_level,model_recommendation,plausibility_1to5,recommendation_appropriateness_1to5,safety_safe_unsafe_unsure,reviewer_comments
C037,8-year-old cat. Eating less than usual. Signs present for about 1 days.,Heart Disease,Heart Disease | Chronic Kidney Disease | Pancreatitis,medium,See a vet within 48-72 hours,,,,
C008,"3-year-old cat. Eating less than usual. Owner also reports: lethargy. Owner note: ""scooting and visible worms in stool"" Signs present for about 2 days.",Parasites,Parasites | Digestive Issues | Skin Irritations,medium,See a vet within 48-72 hours,,,,
C029,"12-year-old cat. Eating less than usual. Vomited several times. Very lethargic. Owner also reports: lethargy. Owner note: ""sudden repeated vomiting after a fatty meal, tummy seems very tender"" Signs present for about 2 days.",Pancreatitis,Pancreatitis | Digestive Issues | Liver Disease,high,See a vet within 24 hours (urgent),,,,
C003,"3-year-old dog. Owner also reports: itchy / irritated skin. Owner note: ""hair loss and flaky skin"" Signs present for about 1 days.",Skin Irritations,Skin Irritations | Parasites | Ear Infections,medium,See a vet within 48-72 hours,,,,
C038,1-year-old dog. Vomited once. Signs present for about 1 days.,Pancreatitis,Pancreatitis | Digestive Issues | Liver Disease,medium,See a vet within 48-72 hours,,,,
C012,"1-year-old cat. Owner also reports: ear scratching. Owner note: ""keeps tilting head and shaking it"" Signs present for about 3 days.",Ear Infections,Ear Infections | Parasites | Skin Irritations,medium,See a vet within 48-72 hours,,,,
C015,"2-year-old cat. Owner also reports: stiff / limping gait, reduced activity. Owner note: ""limping on rear leg"" Signs present for about 3 days.",Mobility Problems,Mobility Problems | Skin Irritations | Parasites,medium,See a vet within 48-72 hours,,,,
C017,"9-year-old cat. Eating less than usual. Urinating more often. Very lethargic. Owner also reports: weight loss, not eating. Owner note: ""breath smells bad, coat looks dull and unkempt"" Signs present for about 21 days.",Chronic Kidney Disease,Chronic Kidney Disease | Cancer | Digestive Issues,high,See a vet within 24 hours (urgent),,,,
C028,"5-year-old dog. Not eating at all. Persistent vomiting. Mild diarrhoea. Slightly less active. Owner also reports: swollen abdomen, lethargy. Signs present for about 1 days.",Pancreatitis,Pancreatitis | Liver Disease | Digestive Issues,high,See a vet within 24 hours (urgent),,,,
C004,"4-year-old cat. Not eating at all. Persistent vomiting. Owner note: ""stomach gurgling loudly"" Signs present for about 5 days.",Digestive Issues,Digestive Issues | Pancreatitis | Ear Infections,high,See a vet within 24 hours (urgent),,,,
C002,"8-year-old dog. Owner also reports: itchy / irritated skin. Owner note: ""hair loss and flaky skin"" Signs present for about 2 days.",Skin Irritations,Skin Irritations | Parasites | Ear Infections,medium,See a vet within 48-72 hours,,,,
